keyword,intent,kd,volume_in,volume_global,cpc,parent_topic
ayurved hair oil,I C T,2,50,60,$0.08,ayurvedic hair oil
patanjali ayurved hair oil,,,10,10,,
baidyanath asli ayurved maha bhringraj hair oil,,,10,10,,
ayurved amrit hair oil,,,10,10,,
ayurved ocean silk hair oil,,,10,10,,
ayurved max ocean silk hair oil,,,10,10,,
kerala ayurved ltd hair oil review,,,10,20,,
baidyanath asli ayurved mahabhringraj hair oil,,,10,10,,
ayurved hair growth oil,,,10,10,,
ayurved herbal hair oil,,,10,10,,
parampara ayurved hair oil,I C T Branded,,10,10,,
rangoli ayurved hair fall product,I C T Branded,,10,10,$0.15,
